代码,名称,实施日期,实施前简称,实施后简称,实施ST原因,证监会行业,Wind行业,证券类型
430013.OC,ST羊业,2009/7/8,中农羊业,ST羊业,在法定期限内未依法披露定期报告,,,三板股
600678.SH,ST金顶,2009/6/30,四川金顶,ST金顶,出现其它异常状况，实施特别处理,金属、非金属,Wind材料Ⅱ,A股
600887.SH,*ST伊利,2009/5/4,伊利股份,*ST伊利,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
600727.SH,*ST鲁北,2009/5/4,鲁北化工,*ST鲁北,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
600185.SH,*ST海星,2009/5/4,海星科技,*ST海星,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind技术硬件与设备,A股
600340.SH,*ST国祥,2009/5/4,国祥股份,*ST国祥,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind资本货物,A股
900913.SH,ST联华B,2009/4/30,联华B股,ST联华B,最近一个会计年度的审计结果显示其股东权益为负值,石油、化学、塑胶、塑料,Wind房地产,B股
600617.SH,ST联华,2009/4/30,联华合纤,ST联华,最近一个会计年度的审计结果显示其股东权益为负值,石油、化学、塑胶、塑料,Wind房地产,A股
600898.SH,*ST三联,2009/4/30,三联商社,*ST三联,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
200505.SZ,*ST珠江B,2009/4/29,珠江B,*ST珠江B,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,B股
600130.SH,*ST波导,2009/4/29,波导股份,*ST波导,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
000036.SZ,*ST华控,2009/4/29,华联控股,*ST华控,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind房地产,A股
000518.SZ,*ST生物,2009/4/29,四环生物,*ST生物,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000505.SZ,*ST珠江,2009/4/29,珠江控股,*ST珠江,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000720.SZ,*ST能山,2009/4/29,鲁能泰山,*ST能山,最近两个会计年度的审计结果显示的净利润均为负值,电力、煤气及水的生产和供应业,Wind公用事业Ⅱ,A股
000955.SZ,*ST欣龙,2009/4/28,欣龙控股,*ST欣龙,最近两个会计年度的审计结果显示的净利润均为负值,其他制造业,Wind耐用消费品与服装,A股
200770.SZ,*ST武锅B,2009/4/28,武锅B,*ST武锅B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
000586.SZ,*ST汇源,2009/4/28,汇源通信,*ST汇源,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind技术硬件与设备,A股
600701.SH,*ST工新,2009/4/27,工大高新,*ST工新,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
200168.SZ,*ST雷伊B,2009/4/24,雷伊B,*ST雷伊B,最近两个会计年度的审计结果显示的净利润均为负值,纺织、服装、皮毛,Wind耐用消费品与服装,B股
002145.SZ,ST钛白,2009/4/22,中核钛白,ST钛白,出现其它异常状况，实施特别处理,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
000995.SZ,*ST皇台,2009/4/22,皇台酒业,*ST皇台,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
000576.SZ,*ST甘化,2009/4/21,广东甘化,*ST甘化,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind食品、饮料与烟草,A股
600115.SH,ST东航,2009/4/17,东方航空,ST东航,最近一个会计年度的审计结果显示其股东权益为负值,交通运输、仓储业,Wind运输,A股
000751.SZ,*ST锌业,2009/4/16,锌业股份,*ST锌业,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600253.SH,*ST天方,2009/4/15,天方药业,*ST天方,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000697.SZ,*ST偏转,2009/4/10,咸阳偏转,*ST偏转,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
000856.SZ,*ST唐陶,2009/4/10,唐山陶瓷,*ST唐陶,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind耐用消费品与服装,A股
000585.SZ,*ST东电,2009/4/1,东北电气,*ST东电,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600591.SH,*ST上航,2009/3/26,上海航空,*ST上航,最近两个会计年度的审计结果显示的净利润均为负值,交通运输、仓储业,Wind运输,A股
600633.SH,*ST白猫,2009/3/24,白猫股份,*ST白猫,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind家庭与个人用品,A股
600506.SH,*ST香梨,2009/3/13,香梨股份,*ST香梨,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind食品、饮料与烟草,A股
002002.SZ,*ST琼花,2008/12/29,江苏琼花,ST琼花,出现其它异常状况，实施特别处理,石油、化学、塑胶、塑料,Wind材料Ⅱ,A股
002075.SZ,*ST张铜,2008/9/2,高新张铜,ST张铜,出现其它异常状况，实施特别处理,金属、非金属,Wind材料Ⅱ,A股
600180.SH,*ST九发,2008/6/27,九发股份,*ST九发,最近两个会计年度的审计结果显示的净利润均为负值,农、林、牧、渔业,Wind食品、饮料与烟草,A股
600870.SH,*ST厦华,2008/5/5,厦华电子,*ST厦华,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind耐用消费品与服装,A股
600421.SH,*ST国药,2008/5/5,国药科技,ST国药,被注册会计师出具无法表示意见或否定意见的审计报告,医药、生物制品,Wind制药、生物科技与生命科学,A股
