Stkcd	Accper	Typrep	Indcd	F110101B	F110301B	F110401B	F110801B
000001	2014-09-30	A	J66		.000000	.000000	1.000000
000001	2014-06-30	A	J66		.000000	.000000	1.000000
000001	2014-03-31	A	J66		.000000	.000000	1.000000
000001	2013-12-31	A	J66	.160000	.100017	-.010000	.899983
000001	2013-09-30	A	J66		.000000	.000000	1.000000
000001	2013-06-30	A	J66		.000000	-.100000	1.000000
000001	2013-03-31	A	J66		.000000	.000000	1.000000
000001	2012-12-31	A	J66	.170000	.064465	.170000	.935535
000001	2012-09-30	A	J66		.000000	.000000	1.000000
000001	2012-06-30	A	J66	.100000	.074580	.100000	.925420
000001	2012-03-31	A	J66		.000000	.000000	1.000000
000001	2011-12-31	A	J66		.000000	.000000	1.000000
000001	2011-09-30	A	J66		.000000	.000000	1.000000
000001	2011-06-30	A	J66		.000000	.000000	1.000000
000001	2011-03-31	A	J66		.000000	.000000	1.000000
000001	2010-12-31	A	J66		.000000	.000000	1.000000
000001	2010-09-30	A	J66		.000000	.000000	1.000000
000001	2010-06-30	A	J66		.000000	.000000	1.000000
000001	2010-03-31	A	J66		.000000	.000000	1.000000
000001	2009-12-31	A	J66		.000000	.000000	1.000000
000001	2009-09-30	A	J66		.000000	.000000	1.000000
000001	2009-06-30	A	J66		.000000	-.033500	1.000000
000001	2009-03-31	A	J66		.000000	.000000	1.000000
000001	2008-12-31	A	J66		.000000	.000000	1.000000
000001	2008-09-30	A	J66		.000000	.000000	1.000000
000001	2008-06-30	A	J66	.033500	.037328	.033500	.962672
000001	2008-03-31	A	J66		.000000	.000000	1.000000
000001	2007-12-31	A	J66		.000000	.000000	1.000000
000001	2007-09-30	A	J66		.000000	.000000	1.000000
000001	2007-06-30	A	J66		.000000	.000000	1.000000
000001	2007-03-31	A	J66		.000000	.000000	1.000000
000001	2006-12-31	A	J66		.000000	.000000	1.000000
000001	2006-09-30	A	J66		.000000	.000000	1.000000
000001	2006-06-30	A	J66		.000000	.000000	1.000000
000001	2006-03-31	A	J66		.000000	.000000	1.000000
000001	2005-12-31	A	J66		.000000	.000000	1.000000
000001	2005-09-30	A	J66		.000000	.000000	1.000000
000001	2005-06-30	A	J66		.000000	.000000	1.000000
000001	2005-03-31	A	J66		.000000	.000000	1.000000
000001	2004-12-31	A	J66		.000000	.000000	1.000000
000002	2014-09-30	A	K70		.000000	.000000	1.000000
000002	2014-06-30	A	K70		.000000	.000000	1.000000
000002	2014-03-31	A	K70		.000000	.000000	1.000000
000002	2013-12-31	A	K70	.410000	.246817	.230000	.753183
000002	2013-09-30	A	K70		.000000	.000000	1.000000
000002	2013-06-30	A	K70		.000000	.000000	1.000000
000002	2013-03-31	A	K70		.000000	.000000	1.000000
000002	2012-12-31	A	K70	.180000	.126365	.050000	.873635
000002	2012-09-30	A	K70		.000000	.000000	1.000000
000002	2012-06-30	A	K70		.000000	.000000	1.000000
000002	2012-03-31	A	K70		.000000	.000000	1.000000
000002	2011-12-31	A	K70	.130000	.123226	.030000	.876774
000002	2011-09-30	A	K70		.000000	.000000	1.000000
000002	2011-06-30	A	K70		.000000	.000000	1.000000
000002	2011-03-31	A	K70		.000000	.000000	1.000000
000002	2010-12-31	A	K70	.100000	.124386	.030000	.875614
000002	2010-09-30	A	K70		.000000	.000000	1.000000
000002	2010-06-30	A	K70		.000000	.000000	1.000000
000002	2010-03-31	A	K70		.000000	.000000	1.000000
000002	2009-12-31	A	K70	.070000	.119699	.020000	.880301
000002	2009-09-30	A	K70		.000000	.000000	1.000000
000002	2009-06-30	A	K70		.000000	.000000	1.000000
000002	2009-03-31	A	K70		.000000	.000000	1.000000
000002	2008-12-31	A	K70	.050000	.118486	-.050000	.881514
000002	2008-09-30	A	K70		.000000	.000000	1.000000
000002	2008-06-30	A	K70		.000000	.000000	1.000000
000002	2008-03-31	A	K70		.000000	.000000	1.000000
000002	2007-12-31	A	K70	.100000	.129234	-.050000	.870766
000002	2007-09-30	A	K70		.000000	.000000	1.000000
000002	2007-06-30	A	K70		.000000	.000000	1.000000
000002	2007-03-31	A	K70		.000000	.000000	1.000000
000002	2006-12-31	A	K70	.150000	.283951	.000000	.716049
000002	2006-09-30	A	K70		.000000	.000000	1.000000
000002	2006-06-30	A	K70		.000000	.000000	1.000000
000002	2006-03-31	A	K70		.000000	.000000	1.000000
000002	2005-12-31	A	K70	.150000	.389558	.000000	.610442
000002	2005-09-30	A	K70		.000000	.000000	1.000000
000002	2005-06-30	A	K70		.000000	.000000	1.000000
000002	2005-03-31	A	K70		.000000	.000000	1.000000
000002	2004-12-31	A	K70	.150000	.373684	.100000	.626316
000004	2014-09-30	A	C27		.000000	.000000	1.000000
000004	2014-06-30	A	C27		.000000	.000000	1.000000
000004	2014-03-31	A	C27		.000000	.000000	1.000000
000004	2013-12-31	A	C27		.000000	.000000	1.000000
000004	2013-09-30	A	C27		.000000	.000000	1.000000
000004	2013-06-30	A	C27		.000000	.000000	1.000000
000004	2013-03-31	A	C27		.000000	.000000	1.000000
000004	2012-12-31	A	C27		.000000	.000000	1.000000
000004	2012-09-30	A	C27		.000000	.000000	1.000000
000004	2012-06-30	A	C27		.000000	.000000	1.000000
000004	2012-03-31	A	C27		.000000	.000000	1.000000
000004	2011-12-31	A	C27		.000000	.000000	1.000000
000004	2011-09-30	A	C27		.000000	.000000	1.000000
000004	2011-06-30	A	C27		.000000	.000000	1.000000
000004	2011-03-31	A	C27		.000000	.000000	1.000000
000004	2010-12-31	A	C27		.000000	.000000	1.000000
000004	2010-09-30	A	C27		.000000	.000000	1.000000
000004	2010-06-30	A	G54		.000000	.000000	1.000000
000004	2010-03-31	A	G54		.000000	.000000	1.000000
000004	2009-12-31	A	G54		.000000	.000000	1.000000
000004	2009-09-30	A	G54		.000000	.000000	1.000000
000004	2009-06-30	A	G54		.000000	.000000	1.000000
000004	2009-03-31	A	G54		.000000	.000000	1.000000
000004	2008-12-31	A	G54		.000000	.000000	1.000000
000004	2008-09-30	A	G54		.000000	.000000	1.000000
000004	2008-06-30	A	G54		.000000	.000000	1.000000
000004	2008-03-31	A	G54		.000000	.000000	1.000000
000004	2007-12-31	A	G54		.000000	.000000	1.000000
000004	2007-09-30	A	G54		.000000	.000000	1.000000
000004	2007-06-30	A	G54		.000000	.000000	1.000000
000004	2007-03-31	A	G54		.000000	.000000	1.000000
000004	2006-12-31	A	G54		.000000	.000000	1.000000
000004	2006-09-30	A	G54		.000000	.000000	1.000000
000004	2006-06-30	A	G54		.000000	.000000	1.000000
000004	2005-12-31	A	G54		.000000	.000000	1.000000
000004	2005-09-30	A	G54		.000000	.000000	1.000000
000004	2005-06-30	A	G54		.000000	.000000	1.000000
000004	2005-03-31	A	G54		.000000	.000000	1.000000
000004	2004-12-31	A	G54		.000000	.000000	1.000000
000005	2014-09-30	A	K70		.000000	.000000	1.000000
000005	2014-06-30	A	K70		.000000	.000000	1.000000
000005	2014-03-31	A	K70		.000000	.000000	1.000000
000005	2013-12-31	A	K70		.000000	.000000	1.000000
000005	2013-09-30	A	K70		.000000	.000000	1.000000
000005	2013-06-30	A	K70		.000000	.000000	1.000000
000005	2013-03-31	A	K70		.000000	.000000	1.000000
000005	2012-12-31	A	K70		.000000	.000000	1.000000
000005	2012-09-30	A	S90		.000000	.000000	1.000000
000005	2012-06-30	A	S90		.000000	.000000	1.000000
000005	2012-03-31	A	S90		.000000	.000000	1.000000
000005	2011-12-31	A	S90		.000000	.000000	1.000000
000005	2011-09-30	A	S90		.000000	.000000	1.000000
000005	2011-06-30	A	S90		.000000	.000000	1.000000
000005	2011-03-31	A	S90		.000000	.000000	1.000000
000005	2010-12-31	A	S90		.000000	.000000	1.000000
000005	2010-09-30	A	S90		.000000	.000000	1.000000
000005	2010-06-30	A	S90		.000000	.000000	1.000000
000005	2010-03-31	A	S90		.000000	.000000	1.000000
000005	2009-12-31	A	S90		.000000	.000000	1.000000
000005	2009-09-30	A	S90		.000000	.000000	1.000000
000005	2009-06-30	A	S90		.000000	.000000	1.000000
000005	2009-03-31	A	S90		.000000	.000000	1.000000
000005	2008-12-31	A	S90		.000000	.000000	1.000000
000005	2008-09-30	A	S90		.000000	.000000	1.000000
000005	2008-06-30	A	S90		.000000	.000000	1.000000
000005	2008-03-31	A	S90		.000000	.000000	1.000000
000005	2007-12-31	A	S90		.000000	.000000	1.000000
000005	2007-09-30	A	S90		.000000	.000000	1.000000
000005	2007-06-30	A	S90		.000000	.000000	1.000000
000005	2007-03-31	A	S90		.000000	.000000	1.000000
000005	2006-12-31	A	S90		.000000	.000000	1.000000
000005	2006-06-30	A	S90		.000000	.000000	1.000000
000005	2005-12-31	A	S90		.000000	.000000	1.000000
000005	2005-09-30	A	S90		.000000	.000000	1.000000
000005	2005-06-30	A	S90		.000000	.000000	1.000000
000005	2005-03-31	A	S90		.000000	.000000	1.000000
000005	2004-12-31	A	S90		.000000	.000000	1.000000
000006	2014-09-30	A	K70		.000000	.000000	1.000000
000006	2014-06-30	A	K70		.000000	.000000	1.000000
000006	2014-03-31	A	K70		.000000	.000000	1.000000
000006	2013-12-31	A	K70	.155000	.299780	.055000	.700220
