Stkcd	Accper	Typrep	Indcd	F070101B	F070201B
000001	2014-09-30	A	J66	1.000000	1.000000
000001	2014-06-30	A	J66	1.000000	1.054922
000001	2014-03-31	A	J66	1.000000	1.000000
000001	2013-12-31	A	J66	1.000000	1.069960
000001	2013-09-30	A	J66	1.000000	1.000000
000001	2013-06-30	A	J66	1.000000	1.069049
000001	2013-03-31	A	J66	1.000000	1.000000
000001	2012-12-31	A	J66	1.000000	1.071584
000001	2012-09-30	A	J66	1.000000	1.000000
000001	2012-06-30	A	J66	1.000000	1.065726
000001	2012-03-31	A	J66	1.000000	1.000000
000001	2011-12-31	A	J66	1.000000	1.068630
000001	2011-09-30	A	J66	1.000000	1.000000
000001	2011-06-30	A	J66	1.000000	1.044881
000001	2011-03-31	A	J66	1.000000	1.000000
000001	2010-12-31	A	J66	1.000000	1.061572
000001	2010-09-30	A	J66	1.000000	1.000000
000001	2010-06-30	A	J66	1.000000	1.059408
000001	2010-03-31	A	J66	1.000000	1.000000
000001	2009-12-31	A	J66	1.000000	1.063306
000001	2009-09-30	A	J66	1.000000	1.000000
000001	2009-06-30	A	J66	1.000000	1.064122
000001	2009-03-31	A	J66	1.000000	1.000000
000001	2008-12-31	A	J66	1.000000	1.392230
000001	2008-09-30	A	J66	1.000000	1.000000
000001	2008-06-30	A	J66	1.000000	1.053487
000001	2008-03-31	A	J66	1.000000	1.000000
000001	2007-12-31	A	J66	1.000000	1.058574
000001	2007-09-30	A	J66	1.000000	1.000000
000001	2007-06-30	A	J66	1.000000	1.086473
000001	2007-03-31	A	J66	1.000000	1.000000
000001	2006-12-31	A	J66	1.000000	1.170527
000001	2006-09-30	A	J66	1.000000	1.171920
000001	2006-06-30	A	J66	1.000000	1.220926
000001	2006-03-31	A	J66	1.000000	1.244315
000001	2005-12-31	A	J66	1.000000	1.597460
000001	2005-09-30	A	J66	1.000000	1.467942
000001	2005-06-30	A	J66	1.000000	1.521332
000001	2005-03-31	A	J66	1.000000	1.315179
000001	2004-12-31	A	J66	1.000000	1.712094
000001	2004-09-30	A	J66	1.000000	1.514840
000001	2004-06-30	A	J66	1.000000	1.498633
000001	2004-03-31	A	J66	1.000000	1.000000
000002	2014-09-30	A	K70	1.061377	1.000000
000002	2014-06-30	A	K70	1.055705	1.027120
000002	2014-03-31	A	K70	1.089977	1.000000
000002	2013-12-31	A	K70	1.036710	1.007117
000002	2013-09-30	A	K70	1.082532	1.000000
000002	2013-06-30	A	K70	1.052538	1.012137
000002	2013-03-31	A	K70	1.125059	1.000000
000002	2012-12-31	A	K70	1.036296	1.008364
000002	2012-09-30	A	K70	1.082098	1.000000
000002	2012-06-30	A	K70	1.070050	1.011810
000002	2012-03-31	A	K70	1.062829	1.000000
000002	2011-12-31	A	K70	1.032255	1.006953
000002	2011-09-30	A	K70	1.034491	1.000000
000002	2011-06-30	A	K70	1.043055	1.012490
000002	2011-03-31	A	K70	1.089127	1.000000
000002	2010-12-31	A	K70	1.042227	1.007713
000002	2010-09-30	A	K70	1.058694	1.000000
000002	2010-06-30	A	K70	1.062998	1.013004
000002	2010-03-31	A	K70	1.068053	1.000000
000002	2009-12-31	A	K70	1.066572	1.011429
000002	2009-09-30	A	K70	1.084579	1.000000
000002	2009-06-30	A	K70	1.056575	1.011389
000002	2009-03-31	A	K70	1.150136	1.000000
000002	2008-12-31	A	K70	1.103958	1.015161
000002	2008-09-30	A	K70	1.072753	1.000000
000002	2008-06-30	A	K70	1.060328	1.014375
000002	2008-03-31	A	K70	1.130119	1.000000
000002	2007-12-31	A	K70	1.047045	1.013828
000002	2007-09-30	A	K70	1.094487	1.000000
000002	2007-06-30	A	K70	1.070510	1.014838
000002	2007-03-31	A	K70	1.031209	1.000000
000002	2006-12-31	A	K70	1.041263	1.014946
000002	2006-09-30	A	K70	1.033573	1.030594
000002	2006-06-30	A	K70	1.015772	1.027205
000002	2006-03-31	A	K70	1.020856	1.021974
000002	2005-12-31	A	K70	1.008196	1.019763
000002	2005-09-30	A	K70	1.018528	1.028853
000002	2005-06-30	A	K70	1.004979	1.023327
000002	2005-03-31	A	K70	.997577	1.041362
000002	2004-12-31	A	K70	.996651	1.052823
000002	2004-09-30	A	K70	1.013132	1.078820
000002	2004-06-30	A	K70	1.020420	1.072765
000002	2004-03-31	A	K70	.996056	1.091344
000004	2014-09-30	A	C27	1.099796	1.000000
000004	2014-06-30	A	C27	1.047906	.306803
000004	2014-03-31	A	C27	1.032255	1.000000
000004	2013-12-31	A	C27	.926679	1.527109
000004	2013-09-30	A	C27	.935806	1.000000
000004	2013-06-30	A	C27	.954691	1.482293
000004	2013-03-31	A	C27	.958553	1.000000
000004	2012-12-31	A	C27	.947943	1.527130
000004	2012-09-30	A	C27	.886975	1.000000
000004	2012-06-30	A	C27	.839320	2.209465
000004	2012-03-31	A	C27	.900766	1.000000
