Stkcd	Accper	C001000000
000001	2014-09-30	-5109000000.00
000001	2014-06-30	53424000000.00
000001	2014-03-31	60097000000.00
000001	2013-12-31	91674000000.00
000001	2013-01-01	185838000000.00
000001	2013-09-30	100823000000.00
000001	2013-06-30	28800000000.00
000001	2013-03-31	14119000000.00
000001	2012-12-31	185838461000.00
000001	2012-01-01	-14439373000.00
000001	2012-09-30	82782114000.00
000001	2012-06-30	144029780000.00
000001	2012-03-31	76827816000.00
000001	2011-12-31	-14439373000.00
000001	2011-09-30	17861633000.00
000001	2011-06-30	31573899000.00
000001	2011-03-31	21346550000.00
000001	2010-12-31	21746295000.00
000001	2010-09-30	10579792000.00
000001	2010-06-30	-3033438000.00
000001	2010-03-31	8609637000.00
000001	2009-12-31	32193611000.00
000001	2009-09-30	-257833000.00
000001	2009-06-30	3844868000.00
000001	2009-03-31	2706389000.00
000001	2008-12-31	24342611000.00
000001	2008-09-30	39545668000.00
000001	2008-06-30	9286973000.00
000001	2008-03-31	3826091000.00
000001	2007-12-31	17051576000.00
000001	2007-09-30	20584238000.00
000001	2007-06-30	13170709000.00
000001	2007-03-31	3719363531.00
000001	2006-12-31	7410385467.00
000001	2006-09-30	6253524904.00
000001	2006-06-30	2731155320.00
000001	2006-03-31	13663330688.00
000001	2005-12-31	-4285584486.00
000001	2005-09-30	-3963236835.00
000001	2005-06-30	-1361021085.00
000001	2005-03-31	-1911062663.00
000001	2004-12-31	7045617953.00
000001	2004-09-30	-4131563698.00
000001	2004-06-30	-2889316053.00
000002	2014-09-30	17204500325.05
000002	2014-06-30	3432682161.49
000002	2014-03-31	-5579130508.35
000002	2013-12-31	1923868889.89
000002	2013-01-01	3725958472.52
000002	2013-09-30	-12060759405.31
000002	2013-06-30	-9792399309.57
000002	2013-03-31	-2383260770.37
000002	2012-12-31	3725958472.52
000002	2012-01-01	3389424571.92
000002	2012-09-30	-3490551173.49
000002	2012-06-30	2819195756.85
000002	2012-03-31	1280120650.55
000002	2011-12-31	3389424571.92
000002	2011-09-30	-1495378788.53
000002	2011-06-30	3825848847.41
000002	2011-03-31	-1975209083.64
000002	2010-12-31	2237255451.45
000002	2010-09-30	-1207363590.00
000002	2010-06-30	-9514421178.97
